input,output
what is -55958884182610686546 / -31971440318382714981,1.75
what is 18221480253061503697 + -94644774917188077643,-76423294664126573946
what is 56942596665928222575 * -60772313747862568153,-3460533350199782957743101903502090653975
what is 59138445795294384053 * 10172302306304530901,601574148554738551032962186553900121753
what is 75783612405797248192 / -36578598028947096847,-2.07
what is -42620519340075692434 / 83809698692097494267,-0.51
what is -6904346530709707149 + 84148185289479831277,77243838758770124128
what is 52529789825747223032 * -42006530603446482016,-2206594223907862368097430357141728992512
what is -42896327247366849917 - -50783200238984006699,7886872991617156782
what is 74317956344740973123 - 6106665429573421863,68211290915167551260
what is -11422348296414053107 - 70858899768627411706,-82281248065041464813
what is -96660530663811618963 + -66032708200467837482,-162693238864279456445
what is 89216173359810101003 * 3959920204795760902,353288927482073323150851221134858384706
what is 43322088860318309423 - -82917281312817362386,126239370173135671809
what is 4357942967355874253 + -71918655086961413159,-67560712119605538906
what is -74958867813713807216 - -15870197417448608065,-59088670396265199151
what is -82266627090047288461 + 40706094736367911736,-41560532353679376725
what is -5796399013471720225 + 13544142109145848995,7747743095674128770
what is -4316736785744235431 - -65829004426181528286,61512267640437292855
what is -70108878792136958930 / -29323531574225140839,2.39
what is 78146288587688608217 + -95335510017264514668,-17189221429575906451
what is -21817380887623921959 + -72563275113247279028,-94380656000871200987
what is 92629261499951990930 - 17076220923567122898,75553040576384868032
what is -46570758369303724535 - 37955022254372519764,-84525780623676244299
what is 86058747606793356092 - 50523977937239415949,35534769669553940143
what is -41948410274647145399 * 44301265262974430355,-1858367650937225266087791894928884186645
what is 23791777298949670236 * -27459131402267030235,-653301539145332755478098546568291585460
what is 70202792115128463514 * 94161306064670616817,6610386594947056350612571096643859314938
what is 59195292281625739158 / 96700128790736991682,0.61
what is -80255398559628715967 / -27160667364237339305,2.95
what is -69359103005553088260 / 76996025248410966411,-0.9
what is 88094669412403058993 + -88415865710533095110,-321196298130036117
what is -48640249981878509209 * -71155164689023569065,3461004997975840993569637264406650019585
what is 38790558277612093812 + -81201686645418421640,-42411128367806327828
what is 84520165589884868055 + 71907648717881015631,156427814307765883686
what is -92872368966147147128 - -53749947754296590543,-39122421211850556585
what is -91120658634639366374 / -97289047745868689246,0.94
what is -44102374136636937352 - 94704424455798419678,-138806798592435357030
what is -59587957805470555068 + -6173184082913839060,-65761141888384394128
what is -73903715496008007552 * -27459613017086792794,2029367428045260405666013135205811180288
what is 15547642713834026437 * 4602578522973240480,71559246437553877609396716643878569760
what is 82298471221923624434 / -17838171147261870723,-4.61
what is 93035701296850558915 + -88386886289934682694,4648815006915876221
what is -2136597805060314364 - 94280008182820103875,-96416605987880418239
what is 12183654986317457183 * 52646733147953403450,641429632831387043238564111374499481350
what is -91609117524843001039 + 23674211874693678626,-67934905650149322413
what is -58948482838483445272 / -87449120066726459477,0.67
what is -64752124852378564370 / -88691319314917981642,0.73
what is -46902540505505257246 * 43139963089405045127,-2023373866206821844363564814014373740242
what is 51332560601108381105 * -29158551617173241211,-1496783117929092192823716900669879718155
what is 73723069928880316579 * 79369820852492901150,5851386852951037293773751031562153165850
what is 97987392966169308351 * -6618737747119471185,-648552856567013765128374937376324365935
what is -21012306833471390911 / 12050244132779519586,-1.74
what is 50143526108398570211 * 61438137562847731343,3080724854934038118878161649086250823373
what is -32626917712711528396 + -48319245083736909822,-80946162796448438218
what is 72511088925115665363 - 27665612671147491102,44845476253968174261
what is -21458919280902437873 - 38549143726954486798,-60008063007856924671
what is -33323277820355277608 - -99510357930839890110,66187080110484612502
what is 24718651806808518778 - 51309081550951230859,-26590429744142712081
what is 39354843320056314728 / 16679861022852429568,2.36
what is -65361980770954729411 - -51647676501634529894,-13714304269320199517
what is 63856690558057130811 * 29383811161126724613,1876352936732454653198329325504914351143
what is -96325439735556159805 - -83131349019298613937,-13194090716257545868
what is -72293804609548740804 + 46520766198148913460,-25773038411399827344
what is 16080501668053435287 * 56034972687333586922,901070471767996431819228817377916516614
what is 29228606592474454748 + 13074238677999973404,42302845270474428152
what is -78765795552066295526 - 99808661266861336564,-178574456818927632090
what is -91959730122598830093 / -24986840964494760929,3.68
what is -61290105369146532821 + 94634338489632949093,33344233120486416272
what is -79955449703228452099 / 41454463953120808316,-1.93
what is -53219200877350682636 / -98379627789745693012,0.54
what is 96753714091022487254 + 15743776062140355855,112497490153162843109
what is 80114329205026618759 - -87651849492680675407,167766178697707294166
what is 42696076593955356499 + -91263649325696546949,-48567572731741190450
what is -58763152474558389307 / -86250410127191603885,0.68
what is 14548103769882129738 * 88394262897260514833,1285968909291587763587111244444379403754
what is -23436262323662050862 * 49269113058863449839,-1154683858101687409434152119703203711218
what is -7235714380283987538 + -7117260042090423282,-14352974422374410820
what is -76713798098447235256 - -45948162764309433530,-30765635334137801726
what is 5681278403670406604 + -74787351713467448074,-69106073309797041470
what is 93087433928426699817 * -63843472479088049580,-5943025026158437174996109557322672926860
what is -96497456390746806536 / 6604681179717701041,-14.61
what is 10373015093874093078 * 34346007308723824009,356271652227702144259525671416957109702
what is -92148377021266239198 - -96140597163559035480,3992220142292796282
what is -75700939615585796667 - 79133331324602407902,-154834270940188204569
what is -16263325915611824275 / 41721346933472314871,-0.39
what is 2755212166457260381 / 45175195128900323271,0.06
what is -21728280819894652220 * -27839681494467362397,604908417448211277845375106629020571340
what is -31607285312760037906 / -71870768744769242717,0.44
what is -50671098709473357931 - -19484996006531544450,-31186102702941813481
what is 9629692199971204592 / 82028701287444113418,0.12
what is -87442177250405874111 * 47248314206225900703,-4131495465603675130337326214863004400033
what is -9411172503951668580 * -29066899355718819607,273553603991671425719875510255669848060
what is -42172764406437764805 + 2550590818897676405,-39622173587540088400
what is -4452117803002483264 / -83374858197919319630,0.05
what is -50724735710270246659 / 57928900247499794723,-0.88
what is -95515370610746022689 * 97200958435524712304,-9284185568688862805915634364438981465456
what is 32669153738406229912 * 49101873614510924121,1604116657956249777586859408926712507352
what is -92293584642032198750 + 2830493007437419326,-89463091634594779424
what is -95958337976690380569 + 11665969763180518267,-84292368213509862302
what is 92904046299267804162 + 30322784601744067946,123226830901011872108
what is 44145054767753640805 + -28582299535606404623,15562755232147236182
what is 53102046309929831686 - -85192335126910592524,138294381436840424210
what is -95534115419132137485 - 30971681270154657977,-126505796689286795462
what is 6385922801899360197 / 63257051848796958712,0.1
what is -94558864873381825374 * -8660409714616733217,818918511952566933429270353868239248158
what is 10369999634593419264 * -74494734226625445591,-772510366709239754190396594820283265024
what is 34296156625428178546 - 18230866420268150256,16065290205160028290
what is -68141437747714836118 * -66934567165465797,4561017641675825100685811192989256046
what is -83635147626029820840 / 22797854564658058744,-3.67
what is 88979173076509479168 * -29316845882899707949,-2608588703871887464592727949757299506432
what is -21435263716975741594 + -9441808556179970796,-30877072273155712390
what is 25090245310425590712 * -39019236201727501859,-979002208126781891932580414436153133608
what is 79215202190295808505 - 16900890374382435722,62314311815913372783
what is -7146232085784427363 + 74300749392086719460,67154517306302292097
what is -54071923239053548458 * -22351880521282930362,1208609167795306825070361419620606481796
what is -21112177994179386076 * 87033045289384879758,-1837457143524969336699976683485519449608
what is -77167949388511444901 / 27688625896853316338,-2.79
what is -51679081988662811957 + -79925515218981224597,-131604597207644036554
what is 41817435608165660785 + 19781467461443703724,61598903069609364509
what is 32728869142631072161 * 48821389054190223394,1597868853716072787731422678330324334434
what is 14206292679174665360 * 45730694348848433402,649663628341619739710943241163596354720
what is 5329469450303953682 * -12078204044283883018,-64370419468548616263012177396578372276
what is -54276363439692345262 - -22748427236911083987,-31527936202781261275
what is -35681223795345501147 - -20307315399684661609,-15373908395660839538
what is 30560637022557061472 + 24498451436743754715,55059088459300816187
what is -74246006431793810591 - 47324135345493207066,-121570141777287017657
what is 9004200664361414273 - -24303887197691914852,33308087862053329125
what is -75240971253702579135 - -80604933347505635012,5363962093803055877
what is -30059716205725903522 * 78560456002840272340,-2361505012437794572187699065395045181480
what is 71424720792554886094 - -6857818251036864417,78282539043591750511
what is 59631703842529327117 / -588055522061239642,-101.4
